,index,ID,DATE,TO USER ACCOUNT,FROM USER ACCOUNT,REASON,DUPLICATE ID 1,DUPLICATE ID 2,DUPLICATE ID 3,QUANTIFIER 1 USERNAME,QUANTIFIER 2 USERNAME,QUANTIFIER 3 USERNAME,AVG SCORE,MAX SCORE,DUPLICATION AGREED,ORIGINAL MSG
0,171,62c5f7dd262dbd2259e42a14,2022-03-20T23:00:00.000Z,mafer_cordovas#1034,Yineisy Mota#1449,for representing CS at ETH Rio! ,0,0,62c5f7dd262dbd2259e42a10,Tamarandom#9361,liviade#1387,Yineisy Mota#1449,23.13,144.0,False,for representing CS at ETH Rio! 
4,194,62c5f7dd262dbd2259e42a2b,2022-03-20T23:00:00.000Z,mafer_cordovas#1034,hanners717#2022,"for being an awesome companion in EthRio, really, truly dedicated to expanding the vision of Common Stack, networking, and building authentic relationships in the Web3/public good space! ",0,0,62c5f7dd262dbd2259e42a10,Tamarandom#9361,liviade#1387,Yineisy Mota#1449,7.47,144.0,False,"for being an awesome companion in EthRio, really, truly dedicated to expanding the vision of Common Stack, networking, and building authentic relationships in the Web3/public good space! "
6,28,62c5f7dd262dbd2259e42985,2022-03-06T23:00:00.000Z,Mount Manu#3530,"Griff (💜,💜)#8888",@Mount Manu for coming to Mexico city for the conference so we could meet irl for the first time! ,0,62c5f7dd262dbd2259e42981,0,liviade#1387,Yineisy Mota#1449,mafer_cordovas#1034,7.47,144.0,False,@Mount Manu for coming to Mexico city for the conference so we could meet irl for the first time! 
8,167,62c5f7dd262dbd2259e42a10,2022-03-20T23:00:00.000Z,mafer_cordovas#1034,liviade#1387,for representing CS at ETH Rio! ,62c5f7dd262dbd2259e42a14,0,0,Tamarandom#9361,liviade#1387,Yineisy Mota#1449,50.83,144.0,False,for representing CS at ETH Rio! 
9,180,62c5f7dd262dbd2259e42a1d,2022-03-20T23:00:00.000Z,usamaahmed#9991,Yineisy Mota#1449,for helping our community by clarifying doubts ,0,62c5f7dd262dbd2259e42a0c,0,liviade#1387,Yineisy Mota#1449,mafer_cordovas#1034,49.7,144.0,False,for helping our community by clarifying doubts 
10,191,62c5f7dd262dbd2259e42a28,2022-03-20T23:00:00.000Z,mafer_cordovas#1034,hanners717#2022,"for schilling the Trusted Seed, trying to recruit new memebers! ",0,0,62c5f7dd262dbd2259e42a10,Tamarandom#9361,liviade#1387,Yineisy Mota#1449,7.47,144.0,False,"for schilling the Trusted Seed, trying to recruit new memebers! "
19,90,62c5f7dd262dbd2259e429c3,2022-03-08T23:00:00.000Z,mafer_cordovas#1034,thiago.rossi#1714,"@Yineisy Mota @griff (💜, 💜) and for all the praise quant work done! Our community is better with you 💚 ",0,0,62c5f7dd262dbd2259e429ba,Tamarandom#9361,liviade#1387,Yineisy Mota#1449,8.13,144.0,False,"@Yineisy Mota @griff (💜, 💜) and for all the praise quant work done! Our community is better with you 💚 "
20,96,62c5f7dd262dbd2259e429c9,2022-03-08T23:00:00.000Z,mafer_cordovas#1034,Yineisy Mota#1449,"and @griff (💜, 💜) for almost 8 hours of praise Quant! Thank you for helping us with this process and suggesting me some good playlists for the party 🎉 ",0,0,62c5f7dd262dbd2259e429ba,Tamarandom#9361,liviade#1387,Yineisy Mota#1449,9.7,144.0,False,"and @griff (💜, 💜) for almost 8 hours of praise Quant! Thank you for helping us with this process and suggesting me some good playlists for the party 🎉 "
24,193,62c5f7dd262dbd2259e42a2a,2022-03-20T23:00:00.000Z,mafer_cordovas#1034,hanners717#2022,for advising a hackathon project at EthRio! ,0,0,62c5f7dd262dbd2259e42a10,Tamarandom#9361,liviade#1387,Yineisy Mota#1449,10.8,144.0,False,for advising a hackathon project at EthRio! 
31,88,62c5f7dd262dbd2259e429c1,2022-03-08T23:00:00.000Z,acidlazzer#5796,thiago.rossi#1714,"@Yineisy Mota @griff (💜, 💜) and for all the praise quant work done! Our community is better with you 💚 ",0,62c5f7dd262dbd2259e429c0,0,liviade#1387,Yineisy Mota#1449,mafer_cordovas#1034,14.47,144.0,False,"@Yineisy Mota @griff (💜, 💜) and for all the praise quant work done! Our community is better with you 💚 "
