,index,ID,DATE,TO USER ACCOUNT,FROM USER ACCOUNT,REASON,DUPLICATE ID 1,DUPLICATE ID 2,DUPLICATE ID 3,QUANTIFIER 1 USERNAME,QUANTIFIER 2 USERNAME,QUANTIFIER 3 USERNAME,AVG SCORE,MAX SCORE,DUPLICATION AGREED,ORIGINAL MSG
33,86,62c5f7dd262dbd2259e429bf,2022-03-08T23:00:00.000Z,mafer_cordovas#1034,acidlazzer#5796,@Yineisy Mota for almost 8 hours of praise quant 😱😱😱 ,0,62c5f7dd262dbd2259e429c9,62c5f7dd262dbd2259e429ba,Tamarandom#9361,liviade#1387,Yineisy Mota#1449,7.79,144.0,False,@Yineisy Mota for almost 8 hours of praise quant 😱😱😱 
34,82,62c5f7dd262dbd2259e429bb,2022-03-08T23:00:00.000Z,"Griff (💜,💜)#8888",acidlazzer#5796,"@Yineisy Mota @griff (💜, 💜) for the two praise quant sessions ",0,62c5f7dd262dbd2259e429ca,0,RachaelMalachy#5837,Yineisy Mota#1449,mafer_cordovas#1034,14.47,144.0,False,"@Yineisy Mota @griff (💜, 💜) for the two praise quant sessions "
35,133,62c5f7dd262dbd2259e429ee,2022-03-17T23:00:00.000Z,Oyealmond#7049,"Griff (💜,💜)#8888","for being a hero and getting Onallee in the AMA on her computer, seriously, epic improv action to save the day! ",0,62c5f7dd262dbd2259e429f1,0,RachaelMalachy#5837,Yineisy Mota#1449,mafer_cordovas#1034,51.8,144.0,False,"for being a hero and getting Onallee in the AMA on her computer, seriously, epic improv action to save the day! "
46,174,62c5f7dd262dbd2259e42a17,2022-03-20T23:00:00.000Z,kristofer#1475,"Griff (💜,💜)#8888","for the incredible work managing the trusted seed dashboard, a lot of cat herding is Finally about to pay off! ",0,62c5f7dd262dbd2259e429af,62c5f7dd262dbd2259e429af,Tamarandom#9361,liviade#1387,Yineisy Mota#1449,11.02,144.0,False,"for the incredible work managing the trusted seed dashboard, a lot of cat herding is Finally about to pay off! "
48,38,62c5f7dd262dbd2259e4298f,2022-03-06T23:00:00.000Z,karmaticacid | AFK til Sept 12#1218,mafer_cordovas#1034,"@Mount Manu @griff (💜, 💜) for the TS representation at the DAOist Mexico ",0,0,62c5f7dd262dbd2259e4296e,RachaelMalachy#5837,Tamarandom#9361,Yineisy Mota#1449,27.47,144.0,False,"@Mount Manu @griff (💜, 💜) for the TS representation at the DAOist Mexico "
49,22,62c5f7dd262dbd2259e4297f,2022-03-06T23:00:00.000Z,karmaticacid | AFK til Sept 12#1218,Tamarandom#9361,"@griff (💜, 💜) @Mount Manu and all of those representing the Commons Stack, Giveth, the TEC and regen initiatives in Mexico City last weekend. ",62c5f7dd262dbd2259e4298f,0,62c5f7dd262dbd2259e4296e,RachaelMalachy#5837,Tamarandom#9361,Yineisy Mota#1449,10.97,144.0,False,"@griff (💜, 💜) @Mount Manu and all of those representing the Commons Stack, Giveth, the TEC and regen initiatives in Mexico City last weekend. "
50,24,62c5f7dd262dbd2259e42981,2022-03-06T23:00:00.000Z,Mount Manu#3530,Tamarandom#9361,"@griff (💜, 💜) @Mount Manu and all of those representing the Commons Stack, Giveth, the TEC and regen initiatives in Mexico City last weekend. ",62c5f7dd262dbd2259e4298c,0,0,liviade#1387,Yineisy Mota#1449,mafer_cordovas#1034,52.92,144.0,False,"@griff (💜, 💜) @Mount Manu and all of those representing the Commons Stack, Giveth, the TEC and regen initiatives in Mexico City last weekend. "
53,93,62c5f7dd262dbd2259e429c6,2022-03-08T23:00:00.000Z,acidlazzer#5796,Yineisy Mota#1449,"and @griff (💜, 💜) for almost 8 hours of praise Quant! Thank you for helping us with this process and suggesting me some good playlists for the party 🎉 ",0,62c5f7dd262dbd2259e429c0,0,liviade#1387,Yineisy Mota#1449,mafer_cordovas#1034,57.13,144.0,False,"and @griff (💜, 💜) for almost 8 hours of praise Quant! Thank you for helping us with this process and suggesting me some good playlists for the party 🎉 "
54,27,62c5f7dd262dbd2259e42984,2022-03-06T23:00:00.000Z,mateodaza#3156,Tamarandom#9361,"@griff (💜, 💜) @Mount Manu and all of those representing the Commons Stack, Giveth, the TEC and regen initiatives in Mexico City last weekend. ",62c5f7dd262dbd2259e4298e,0,0,liviade#1387,Yineisy Mota#1449,mafer_cordovas#1034,54.95,144.0,False,"@griff (💜, 💜) @Mount Manu and all of those representing the Commons Stack, Giveth, the TEC and regen initiatives in Mexico City last weekend. "
58,258,62c5f7dd262dbd2259e42a6b,2022-04-03T22:00:00.000Z,ElCelaya#5849,iviangita#3204,for the post-production of the Trusted Seed Spotlight video ,0,62c5f7dd262dbd2259e42969,0,liviade#1387,mafer_cordovas#1034,usamaahmed#9991,13.47,144.0,False,for the post-production of the Trusted Seed Spotlight video 
59,270,62c5f7dd262dbd2259e42a77,2022-04-03T22:00:00.000Z,kristofer#1475,Yineisy Mota#1449,for always putting out amazingly detailed work with the Praise system! ,0,0,62c5f7dd262dbd2259e42971,Tamarandom#9361,liviade#1387,Yineisy Mota#1449,27.47,144.0,False,for always putting out amazingly detailed work with the Praise system! 
60,256,62c5f7dd262dbd2259e42a69,2022-04-03T22:00:00.000Z,mafer_cordovas#1034,Tamarandom#9361,for sharing the work of the Trusted Seed  in conferences across South America and Europe. 🌐 ,0,0,62c5f7dd262dbd2259e42a10,Tamarandom#9361,liviade#1387,Yineisy Mota#1449,38.8,144.0,False,for sharing the work of the Trusted Seed  in conferences across South America and Europe. 🌐 
61,91,62c5f7dd262dbd2259e429c4,2022-03-08T23:00:00.000Z,"Griff (💜,💜)#8888",thiago.rossi#1714,"@Yineisy Mota @griff (💜, 💜) and for all the praise quant work done! Our community is better with you 💚 ",0,62c5f7dd262dbd2259e429ca,0,RachaelMalachy#5837,Yineisy Mota#1449,mafer_cordovas#1034,20.47,144.0,False,"@Yineisy Mota @griff (💜, 💜) and for all the praise quant work done! Our community is better with you 💚 "
63,35,62c5f7dd262dbd2259e4298c,2022-03-06T23:00:00.000Z,Mount Manu#3530,mafer_cordovas#1034,"@Mount Manu @griff (💜, 💜) for the TS representation at the DAOist Mexico ",0,62c5f7dd262dbd2259e4297d,0,liviade#1387,Yineisy Mota#1449,mafer_cordovas#1034,17.7,144.0,False,"@Mount Manu @griff (💜, 💜) for the TS representation at the DAOist Mexico "
64,1,62c5f7dd262dbd2259e4296a,2022-03-06T23:00:00.000Z,chuygarcia.eth#6692,liviade#1387,for organizing the DAOist Mexico!! ,0,62c5f7dd262dbd2259e4297a,0,Tamarandom#9361,liviade#1387,usamaahmed#9991,66.99,144.0,False,for organizing the DAOist Mexico!! 
68,189,62c5f7dd262dbd2259e42a26,2022-03-20T23:00:00.000Z,"Griff (💜,💜)#8888",usamaahmed#9991,"@griff (💜, 💜) for such an excellent talk regarding Collaborative economics at the DAOist CDMX ",0,62c5f7dd262dbd2259e4296d,0,RachaelMalachy#5837,Yineisy Mota#1449,mafer_cordovas#1034,59.8,144.0,False,"@griff (💜, 💜) for such an excellent talk regarding Collaborative economics at the DAOist CDMX "
72,5,62c5f7dd262dbd2259e4296e,2022-03-06T23:00:00.000Z,karmaticacid | AFK til Sept 12#1218,liviade#1387,"@griff (💜, 💜) for representing Commons Stack and Giveth at the DAOist ",62c5f7dd262dbd2259e4298f,0,0,RachaelMalachy#5837,Tamarandom#9361,Yineisy Mota#1449,61.17,144.0,False,"@griff (💜, 💜) for representing Commons Stack and Giveth at the DAOist "
74,238,62c5f7dd262dbd2259e42a57,2022-04-03T22:00:00.000Z,kristofer#1475,Tamarandom#9361,for sharing vision for Praise and a product and untangling some of the business / operational parts of how we can help other communities deploy to their own DAOs. ,0,0,62c5f7dd262dbd2259e42971,Tamarandom#9361,liviade#1387,Yineisy Mota#1449,34.47,144.0,False,for sharing vision for Praise and a product and untangling some of the business / operational parts of how we can help other communities deploy to their own DAOs. 
75,21,62c5f7dd262dbd2259e4297e,2022-03-06T23:00:00.000Z,"Griff (💜,💜)#8888",Tamarandom#9361,"@griff (💜, 💜) @Mount Manu and all of those representing the Commons Stack, Giveth, the TEC and regen initiatives in Mexico City last weekend. ",62c5f7dd262dbd2259e4296d,0,62c5f7dd262dbd2259e4296d,RachaelMalachy#5837,Yineisy Mota#1449,mafer_cordovas#1034,17.97,144.0,False,"@griff (💜, 💜) @Mount Manu and all of those representing the Commons Stack, Giveth, the TEC and regen initiatives in Mexico City last weekend. "
76,26,62c5f7dd262dbd2259e42983,2022-03-06T23:00:00.000Z,divine_comedian#5493,Tamarandom#9361,"@griff (💜, 💜) @Mount Manu and all of those representing the Commons Stack, Giveth, the TEC and regen initiatives in Mexico City last weekend. ",0,62c5f7dd262dbd2259e42991,62c5f7dd262dbd2259e42991,Tamarandom#9361,liviade#1387,Yineisy Mota#1449,19.1,144.0,False,"@griff (💜, 💜) @Mount Manu and all of those representing the Commons Stack, Giveth, the TEC and regen initiatives in Mexico City last weekend. "
83,169,62c5f7dd262dbd2259e42a12,2022-03-20T23:00:00.000Z,hanners717#2022,liviade#1387,for representing CS at ETH Rio! ,0,62c5f7dd262dbd2259e42a16,0,RachaelMalachy#5837,Tamarandom#9361,usamaahmed#9991,34.27,89.0,False,for representing CS at ETH Rio! 
86,95,62c5f7dd262dbd2259e429c8,2022-03-08T23:00:00.000Z,bustavo#8085,Yineisy Mota#1449,"and @griff (💜, 💜) for almost 8 hours of praise Quant! Thank you for helping us with this process and suggesting me some good playlists for the party 🎉 ",62c5f7dd262dbd2259e429bc,62c5f7dd262dbd2259e429bc,0,liviade#1387,Yineisy Mota#1449,mafer_cordovas#1034,55.62,144.0,False,"and @griff (💜, 💜) for almost 8 hours of praise Quant! Thank you for helping us with this process and suggesting me some good playlists for the party 🎉 "
91,269,62c5f7dd262dbd2259e42a76,2022-04-03T22:00:00.000Z,Yineisy Mota#1449,"Griff (💜,💜)#8888",@Yineisy Mota for setting up an awesome hubspot form for the Commons Prize! ,62c5f7dd262dbd2259e42a5d,0,62c5f7dd262dbd2259e42a75,RachaelMalachy#5837,Tamarandom#9361,usamaahmed#9991,2.6,55.0,False,@Yineisy Mota for setting up an awesome hubspot form for the Commons Prize! 
94,89,62c5f7dd262dbd2259e429c2,2022-03-08T23:00:00.000Z,Yineisy Mota#1449,thiago.rossi#1714,"@Yineisy Mota @griff (💜, 💜) and for all the praise quant work done! Our community is better with you 💚 ",0,0,62c5f7dd262dbd2259e429b9,RachaelMalachy#5837,Tamarandom#9361,usamaahmed#9991,5.17,55.0,False,"@Yineisy Mota @griff (💜, 💜) and for all the praise quant work done! Our community is better with you 💚 "
96,85,62c5f7dd262dbd2259e429be,2022-03-08T23:00:00.000Z,Yineisy Mota#1449,acidlazzer#5796,@Yineisy Mota for almost 8 hours of praise quant 😱😱😱 ,62c5f7dd262dbd2259e429c2,0,0,RachaelMalachy#5837,Tamarandom#9361,usamaahmed#9991,20.17,55.0,False,@Yineisy Mota for almost 8 hours of praise quant 😱😱😱 
112,19,62c5f7dd262dbd2259e4297c,2022-03-06T23:00:00.000Z,chuygarcia.eth#6692,Yineisy Mota#1449,@Mount Manu for all the good work during the DAOist Mexico ,0,0,62c5f7dd262dbd2259e4296a,Tamarandom#9361,liviade#1387,usamaahmed#9991,17.5,55.0,False,@Mount Manu for all the good work during the DAOist Mexico 
115,17,62c5f7dd262dbd2259e4297a,2022-03-06T23:00:00.000Z,chuygarcia.eth#6692,"Griff (💜,💜)#8888",for throwing a great conference in mexico city ,0,0,62c5f7dd262dbd2259e4296a,Tamarandom#9361,liviade#1387,usamaahmed#9991,19.75,55.0,False,for throwing a great conference in mexico city 
125,131,62c5f7dd262dbd2259e429ec,2022-03-17T23:00:00.000Z,Juankbell#7458,"Griff (💜,💜)#8888",for being part of our AMA for bringing an inclusivity culture to Web3 and Public Goods ,0,0,62c5f7dd262dbd2259e429f2,Tamarandom#9361,liviade#1387,Yineisy Mota#1449,5.8,34.0,False,for being part of our AMA for bringing an inclusivity culture to Web3 and Public Goods 
130,265,62c5f7dd262dbd2259e42a72,2022-04-03T22:00:00.000Z,Max Semenchuk#3335,mafer_cordovas#1034,@Max Semenchuk for leading the TS syncs and help us organize our ideas and goals. You are a wizard 🧙‍♂️ ,0,0,62c5f7dd262dbd2259e429dc,RachaelMalachy#5837,Tamarandom#9361,Yineisy Mota#1449,5.8,34.0,False,@Max Semenchuk for leading the TS syncs and help us organize our ideas and goals. You are a wizard 🧙‍♂️ 
133,253,62c5f7dd262dbd2259e42a66,2022-04-03T22:00:00.000Z,freshelle#9882,iviangita#3204,for dishing Twitter engagement praise every week and reaching out when she encounters issues during the process ,0,0,62c5f7dd262dbd2259e42993,RachaelMalachy#5837,Tamarandom#9361,Yineisy Mota#1449,5.8,34.0,False,for dishing Twitter engagement praise every week and reaching out when she encounters issues during the process 
153,132,62c5f7dd262dbd2259e429ed,2022-03-17T23:00:00.000Z,gbaby.eth#2758,"Griff (💜,💜)#8888",for being part of our AMA for bringing an inclusivity culture to Web3 and Public Goods ,62c5f7dd262dbd2259e429f0,62c5f7dd262dbd2259e429f0,0,liviade#1387,Yineisy Mota#1449,mafer_cordovas#1034,4.28,34.0,False,for being part of our AMA for bringing an inclusivity culture to Web3 and Public Goods 
157,177,62c5f7dd262dbd2259e42a1a,2022-03-20T23:00:00.000Z,Tamarandom#9361,usamaahmed#9991,for guiding me and answering my questions around different things. ,62c5f7dd262dbd2259e429e7,0,0,RachaelMalachy#5837,mafer_cordovas#1034,usamaahmed#9991,14.43,34.0,False,for guiding me and answering my questions around different things. 
158,172,62c5f7dd262dbd2259e42a15,2022-03-20T23:00:00.000Z,thiago.rossi#1714,Yineisy Mota#1449,for representing CS at ETH Rio! ,0,0,62c5f7dd262dbd2259e42a11,RachaelMalachy#5837,Tamarandom#9361,usamaahmed#9991,24.5,55.0,False,for representing CS at ETH Rio! 
160,25,62c5f7dd262dbd2259e42982,2022-03-06T23:00:00.000Z,chuygarcia.eth#6692,Tamarandom#9361,"@griff (💜, 💜) @Mount Manu and all of those representing the Commons Stack, Giveth, the TEC and regen initiatives in Mexico City last weekend. ",0,62c5f7dd262dbd2259e4297c,0,Tamarandom#9361,liviade#1387,usamaahmed#9991,16.1,34.0,False,"@griff (💜, 💜) @Mount Manu and all of those representing the Commons Stack, Giveth, the TEC and regen initiatives in Mexico City last weekend. "
163,249,62c5f7dd262dbd2259e42a62,2022-04-03T22:00:00.000Z,Tamarandom#9361,Yineisy Mota#1449,for helping me with the coordination for the Commons Prize promotion 🙂 ,62c5f7dd262dbd2259e42a1b,0,0,RachaelMalachy#5837,mafer_cordovas#1034,usamaahmed#9991,30.8,55.0,False,for helping me with the coordination for the Commons Prize promotion 🙂 
166,168,62c5f7dd262dbd2259e42a11,2022-03-20T23:00:00.000Z,thiago.rossi#1714,liviade#1387,for representing CS at ETH Rio! ,62c5f7dd262dbd2259e42a15,62c5f7dd262dbd2259e42a15,0,RachaelMalachy#5837,Tamarandom#9361,usamaahmed#9991,20.6,55.0,False,for representing CS at ETH Rio! 
179,173,62c5f7dd262dbd2259e42a16,2022-03-20T23:00:00.000Z,hanners717#2022,Yineisy Mota#1449,for representing CS at ETH Rio! ,62c5f7dd262dbd2259e42a12,0,0,RachaelMalachy#5837,Tamarandom#9361,usamaahmed#9991,10.1,21.0,False,for representing CS at ETH Rio! 
180,275,62c5f7dd262dbd2259e42a7c,2022-04-04T22:00:00.000Z,iviangita#3204,Yineisy Mota#1449,for reviewing with me all the content pieces related to the Commons Prize! ,0,62c5f7dd262dbd2259e42a63,0,Tamarandom#9361,liviade#1387,usamaahmed#9991,10.28,21.0,False,for reviewing with me all the content pieces related to the Commons Prize! 
189,48,62c5f7dd262dbd2259e42999,2022-03-06T23:00:00.000Z,freshelle#9882,thiago.rossi#1714,for being so helpful with the trace ,62c5f7dd262dbd2259e429a0,0,0,RachaelMalachy#5837,Tamarandom#9361,Yineisy Mota#1449,5.6,13.0,False,for being so helpful with the trace 
205,121,62c5f7dd262dbd2259e429e2,2022-03-16T23:00:00.000Z,hanners717#2022,thiago.rossi#1714,and for being the most amazing flatmates in the crypto space ever 😀 ,62c5f7dd262dbd2259e429e6,62c5f7dd262dbd2259e429e6,0,RachaelMalachy#5837,Tamarandom#9361,usamaahmed#9991,1.53,8.0,False,and for being the most amazing flatmates in the crypto space ever 😀 
217,124,62c5f7dd262dbd2259e429e5,2022-03-16T23:00:00.000Z,mafer_cordovas#1034,thiago.rossi#1714,and for being the most amazing housemates in the cryptospace ever ,0,0,62c5f7dd262dbd2259e429e1,Tamarandom#9361,liviade#1387,Yineisy Mota#1449,0.43,3.0,False,and for being the most amazing housemates in the cryptospace ever 
222,120,62c5f7dd262dbd2259e429e1,2022-03-16T23:00:00.000Z,mafer_cordovas#1034,thiago.rossi#1714,and for being the most amazing flatmates in the crypto space ever 😀 ,62c5f7dd262dbd2259e429e5,0,0,Tamarandom#9361,liviade#1387,Yineisy Mota#1449,2.03,3.0,False,and for being the most amazing flatmates in the crypto space ever 😀 
245,209,62c5f7dd262dbd2259e42a3a,2022-03-25T23:00:00.000Z,Rodricast#1415,freshelle#9882,@KZ Flyer @Michel Bauwens @T Wells @Yineisy Mota  for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,0,0,62c5f7dd262dbd2259e42a07,RachaelMalachy#5837,Tamarandom#9361,Yineisy Mota#1449,1.37,3.0,False,@KZ Flyer @Michel Bauwens @T Wells @Yineisy Mota  for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 
252,223,62c5f7dd262dbd2259e42a48,2022-04-01T22:00:00.000Z,innov8tor3#3988,freshelle#9882,@David (please DYOR...) @Yineisy Mota @Gregory | RND  for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,0,0,62c5f7dd262dbd2259e429d2,RachaelMalachy#5837,Tamarandom#9361,Yineisy Mota#1449,1.37,3.0,False,@David (please DYOR...) @Yineisy Mota @Gregory | RND  for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 
256,160,62c5f7dd262dbd2259e42a09,2022-03-17T23:00:00.000Z,ClaraZi#5313,freshelle#9882,@Yineisy Mota @mercedesrodsimfor mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,0,62c5f7dd262dbd2259e429d9,0,liviade#1387,Yineisy Mota#1449,mafer_cordovas#1034,0.7,1.0,False,@Yineisy Mota @mercedesrodsimfor mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 
260,224,62c5f7dd262dbd2259e42a49,2022-04-01T22:00:00.000Z,mafer_cordovas#1034,freshelle#9882,@David (please DYOR...) @Yineisy Mota @Gregory | RND  for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,0,0,62c5f7dd262dbd2259e429d3,Tamarandom#9361,liviade#1387,Yineisy Mota#1449,0.7,1.0,False,@David (please DYOR...) @Yineisy Mota @Gregory | RND  for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 
261,155,62c5f7dd262dbd2259e42a04,2022-03-17T23:00:00.000Z,mafer_cordovas#1034,freshelle#9882,@Yineisy Mota @mercedesrodsimfor mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,0,0,62c5f7dd262dbd2259e429d3,Tamarandom#9361,liviade#1387,Yineisy Mota#1449,0.7,1.0,False,@Yineisy Mota @mercedesrodsimfor mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 
269,203,62c5f7dd262dbd2259e42a34,2022-03-25T23:00:00.000Z,mafer_cordovas#1034,freshelle#9882,@KZ Flyer @Michel Bauwens @T Wells @Yineisy Mota  for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,0,0,62c5f7dd262dbd2259e429d3,Tamarandom#9361,liviade#1387,Yineisy Mota#1449,0.7,1.0,False,@KZ Flyer @Michel Bauwens @T Wells @Yineisy Mota  for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 
270,230,62c5f7dd262dbd2259e42a4f,2022-04-01T22:00:00.000Z,mercedesrodsim#1317,freshelle#9882,@David (please DYOR...) @Yineisy Mota @Gregory | RND  for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,0,0,62c5f7dd262dbd2259e42a0b,Tamarandom#9361,liviade#1387,Yineisy Mota#1449,0.7,1.0,False,@David (please DYOR...) @Yineisy Mota @Gregory | RND  for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 
272,215,62c5f7dd262dbd2259e42a40,2022-03-25T23:00:00.000Z,mercedesrodsim#1317,freshelle#9882,@KZ Flyer @Michel Bauwens @T Wells @Yineisy Mota  for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 ,0,0,62c5f7dd262dbd2259e42a0b,Tamarandom#9361,liviade#1387,Yineisy Mota#1449,0.7,1.0,False,@KZ Flyer @Michel Bauwens @T Wells @Yineisy Mota  for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱 
