,index,ID,DATE,TO USER ACCOUNT,FROM USER ACCOUNT,REASON,DISMISSED 1,DISMISSED 2,DISMISSED 3,QUANTIFIER 1 USERNAME,QUANTIFIER 2 USERNAME,QUANTIFIER 3 USERNAME,AVG SCORE,MAX SCORE,DISMISSAL AGREED,ORIGINAL MSG
0,171,62c5f7dd262dbd2259e42a14,2022-03-20T23:00:00.000Z,mafer_cordovas#1034,Yineisy Mota#1449,for representing CS at ETH Rio! ,False,True,False,Tamarandom#9361,liviade#1387,Yineisy Mota#1449,23.13,144.0,False,for representing CS at ETH Rio! 
217,124,62c5f7dd262dbd2259e429e5,2022-03-16T23:00:00.000Z,mafer_cordovas#1034,thiago.rossi#1714,and for being the most amazing housemates in the cryptospace ever ,False,True,False,Tamarandom#9361,liviade#1387,Yineisy Mota#1449,0.43,3.0,False,and for being the most amazing housemates in the cryptospace ever 
