USER IDENTITY,USER ADDRESS,PRAISE_REWARD,QUANT_REWARD,NR_OF_PRAISES_QUANTIFIED,REWARDBOARD_REWARD,TOTAL TO RECEIVE
Tamarandom#9361,0xcf79c7eaec5bdc1a9e32d099c5d6bdf67e4cf6e8,764.5395781170733,80.35555555555555,56.0,0.0,844.8951336726288
mafer_cordovas#1034,0xd5288ed50a195017e5b30595f65091a7767817a4,407.41911728607204,83.22539682539683,58.0,45.2,535.8445141114689
kristofer#1475,0xa32aecda752cf4ef89956e83d60c04835d4fa867,229.4876200762597,0.0,0.0,45.2,274.6876200762597
paxthemax#4454,missing user address,264.0679463891208,0.0,0.0,0.0,264.0679463891208
mZ#3472,missing user address,176.04529759274718,0.0,0.0,0.0,176.04529759274718
Max Semenchuk#3335,0xb950e0e108546743af96eb493d4ff2abc63816db,174.41059125795738,0.0,0.0,0.0,174.41059125795738
liviade#1387,0xf8d1d34956cea24718cf8687588d6fedbc6d9aa6,48.223836876298954,70.31111111111112,49.0,45.2,163.73494798741007
usamaahmed#9991,0xed23b82a6b1b0d2e75b87c01b0fdc7fcfb49f456,76.64257777341386,77.48571428571428,54.0,0.0,154.12829205912814
"Griff (💜,💜)#8888",0x839395e20bbb182fa440d08f850e6c7a8f6f0780,94.3099808532574,0.0,0.0,45.2,139.5099808532574
RachaelMalachy#5837,0xa15150d172ba951b4e5a20b2ca3cc0cb0d77d125,0.0,74.61587301587302,52.0,45.2,119.81587301587302
iviangita#3204,0xb760fe1bbc4a2752abcbb28291a57cb0ca99ff44,113.1719770239089,0.0,0.0,0.0,113.1719770239089
Yineisy Mota#1449,0x5a227e2919a49f9d4698e9fd2b318efcd0f16bda,41.99937813998396,66.00634920634921,46.0,0.0,108.00572734633317
fabiomendes#4802,missing user address,98.52249333136957,0.0,0.0,0.0,98.52249333136957
Vitor Marthendal#5733,missing user address,81.73531673948976,0.0,0.0,0.0,81.73531673948976
Felipe Duarte#8100,missing user address,77.52280426137759,0.0,0.0,0.0,77.52280426137759
Jeremy&TheGospelOfChange#8201,missing user address,67.08583304695044,0.0,0.0,0.0,67.08583304695044
pacobacpac#5457,missing user address,64.94814014760993,0.0,0.0,0.0,64.94814014760993
Guil#8063,missing user address,64.94814014760993,0.0,0.0,0.0,64.94814014760993
"sem(🌸,🐝)#0161",missing user address,64.94814014760993,0.0,0.0,0.0,64.94814014760993
r33pich33p#6906,0x4318cc449b1cbe6d64dd82e16abe58c79e076c2b,62.87332056883828,0.0,0.0,0.0,62.87332056883828
Rodricast#1415,missing user address,60.798500990066614,0.0,0.0,0.0,60.798500990066614
DarylEdwards.eth#0996,missing user address,60.79850099006661,0.0,0.0,0.0,60.79850099006661
JeffEmmett#7202,0x778549eb292ac98a96a05e122967f22efa003707,54.51116893318278,0.0,0.0,0.0,54.51116893318278
dan13ram#7722,missing user address,50.29865645507062,0.0,0.0,0.0,50.29865645507062
