USER IDENTITY,USER ADDRESS,PRAISE_REWARD,QUANT_REWARD,NR_OF_PRAISES_QUANTIFIED,REWARDBOARD_REWARD,TOTAL TO RECEIVE
Yineisy Mota#1449,0x5a227e2919a49f9d4698e9fd2b318efcd0f16bda,224.5746691871456,7.581538461538462,8.0,0.0,232.15620764868405
mafer_cordovas#1034,0xd5288ed50a195017e5b30595f65091a7767817a4,191.29395085066164,13.26769230769231,14.0,5.279999999999999,209.84164315835395
ALOYSIOUS#3049,missing user address,176.75897920604916,0.0,0.0,0.0,176.75897920604916
logonaut.eth#9437,0xb0ccf43ada6cbaa26dcf4907117b496d49f74242,128.60018903591686,0.0,0.0,0.0,128.60018903591686
freshelle#9882,0x38f80f8f76b1c44b2beefb63bb561f570fb6ddb6,19.743856332703217,0.0,0.0,0.0,19.743856332703217
RachaelMalachy#5837,0xa15150d172ba951b4e5a20b2ca3cc0cb0d77d125,0.0,13.26769230769231,14.0,5.279999999999999,18.54769230769231
liviade#1387,0xf8d1d34956cea24718cf8687588d6fedbc6d9aa6,0.0,7.581538461538462,8.0,5.279999999999999,12.861538461538462
usamaahmed#9991,0xed23b82a6b1b0d2e75b87c01b0fdc7fcfb49f456,0.0,12.32,13.0,0.0,12.32
shawn#7046,missing user address,10.417769376181475,0.0,0.0,0.0,10.417769376181475
Ekeneodigwe#1502,missing user address,10.417769376181475,0.0,0.0,0.0,10.417769376181475
Tamarandom#9361,0xcf79c7eaec5bdc1a9e32d099c5d6bdf67e4cf6e8,0.0,7.581538461538462,8.0,0.0,7.581538461538462
Leanne#9678,missing user address,6.238185255198489,0.0,0.0,0.0,6.238185255198489
missing username,0xa32aecda752cf4ef89956e83d60c04835d4fa867,0.0,0.0,0.0,5.279999999999999,5.279999999999999
missing username,0x839395e20bbb182fa440d08f850e6c7a8f6f0780,0.0,0.0,0.0,5.279999999999999,5.279999999999999
MS#4235,missing user address,5.208884688090738,0.0,0.0,0.0,5.208884688090738
Shaun#4583,missing user address,5.208884688090738,0.0,0.0,0.0,5.208884688090738
omniharmonic#7096,missing user address,5.208884688090738,0.0,0.0,0.0,5.208884688090738
thiago.rossi#1714,missing user address,5.208884688090738,0.0,0.0,0.0,5.208884688090738
captnseagraves#0891,missing user address,3.1190926275992443,0.0,0.0,0.0,3.1190926275992443
